lead_id,full_name,email,created_at,source_channel,location,lead_quality_score
LD00001,Justin Cooper,gilbertcannon@example.com,2025-01-17,LinkedIn,Turkey,79
LD00002,Rodney Long MD,jasonfloyd@example.com,2024-04-01,Email Campaign,Timor-Leste,74
LD00003,Kaitlyn Mendez,susanchambers@example.net,2025-03-03,LinkedIn,Lesotho,74
LD00004,Helen Holloway MD,jose24@example.com,2024-04-01,Email Campaign,Peru,61
LD00005,Dean Villarreal,garrettbutler@example.net,2025-08-02,Email Campaign,Lebanon,55
LD00006,John Kelley,robbinsjody@example.org,2025-03-14,Email Campaign,Australia,36
LD00007,Karen Barton,andersonkevin@example.com,2024-05-22,Instagram,Spain,54
LD00008,Heather Schaefer,dianagray@example.org,2024-11-28,Email Campaign,Mauritius,67
LD00009,Jeffrey Davis,hendrickssusan@example.org,2024-12-24,Google Ads,Hong Kong,51
LD00010,Mary Rios,thompsondaisy@example.com,2024-05-25,Instagram,Malta,74
LD00011,Anthony Morris,ystewart@example.net,2025-07-09,LinkedIn,Central African Republic,56
LD00012,Glen Brown MD,carrshelley@example.org,2025-01-24,Email Campaign,Paraguay,87
LD00013,Anthony Marshall,shannonhill@example.com,2024-03-03,Instagram,Colombia,65
LD00014,Paul Lynch,travis66@example.net,2024-01-30,Google Ads,Ukraine,98
LD00015,Maria Tapia,pearsonallison@example.com,2024-11-18,Email Campaign,Philippines,86
LD00016,Lauren Stanton,mreeves@example.com,2024-06-01,Google Ads,Montenegro,45
LD00017,Nancy Johnson,bryantjamie@example.net,2025-01-29,Instagram,Georgia,56
LD00018,Timothy Terrell,gabriellerodriguez@example.com,2023-12-09,Google Ads,Mongolia,58
LD00019,Melanie Aguilar,bryantphillip@example.net,2024-06-22,Email Campaign,Antigua and Barbuda,39
LD00020,Johnny Fitzgerald,melissaabbott@example.com,2025-06-14,Email Campaign,Australia,63
LD00021,John Chung,vcooper@example.net,2025-06-30,LinkedIn,French Southern Territories,63
LD00022,Colin Holt,kristigray@example.org,2024-10-03,Google Ads,El Salvador,62
LD00023,Ricardo Barnes,josemitchell@example.com,2023-12-06,LinkedIn,Mauritius,100
LD00024,Donald Bailey,wgarcia@example.com,2025-01-22,Instagram,Tanzania,61
LD00025,Deborah Madden,thomascynthia@example.org,2025-06-05,Instagram,Luxembourg,57
LD00026,Dustin Robbins,dereknolan@example.net,2024-02-16,LinkedIn,Korea,72
LD00027,Cody Ibarra,swansonemily@example.com,2025-05-24,Google Ads,Angola,73
LD00028,Alicia Bruce,dcarey@example.net,2023-12-16,LinkedIn,El Salvador,76
LD00029,Jason Clark,lroth@example.net,2025-04-21,Instagram,Vietnam,89
LD00030,Juan Carter,matthewthompson@example.net,2025-07-22,Instagram,Barbados,86
LD00031,Michael Lopez,seth95@example.net,2024-11-21,Instagram,French Southern Territories,69
LD00032,Sharon Larsen,samuel48@example.com,2025-07-27,Email Campaign,Montserrat,66
LD00033,Gary Mendoza MD,nealkurt@example.com,2025-07-13,Email Campaign,Austria,83
LD00034,Jennifer Williams,qrodriguez@example.org,2025-04-29,Instagram,Samoa,54
LD00035,Jennifer Morales,teresa25@example.org,2024-02-29,LinkedIn,Saint Vincent and the Grenadines,73
LD00036,Seth Miller,ocole@example.org,2024-03-22,Email Campaign,Anguilla,28
LD00037,John Wright,obrown@example.net,2025-04-23,LinkedIn,Botswana,74
LD00038,Terry Hernandez,patrick90@example.org,2024-12-18,LinkedIn,Nicaragua,83
LD00039,Steven Brown,paulharvey@example.org,2024-06-06,Instagram,Sao Tome and Principe,82
LD00040,David Reynolds,dfreeman@example.net,2025-06-25,LinkedIn,Myanmar,87
LD00041,Emily Lutz,tbonilla@example.net,2023-12-13,Instagram,Burkina Faso,73
LD00042,Lee Young,schaeferkristen@example.net,2024-07-29,Instagram,Russian Federation,71
LD00043,Sharon Patterson,natalie51@example.net,2024-03-11,Email Campaign,Kuwait,38
LD00044,William Anderson,devin85@example.net,2025-07-21,LinkedIn,Sweden,96
LD00045,Tammie Freeman,stephenchristian@example.org,2024-12-28,LinkedIn,Angola,83
LD00046,Mackenzie Brooks,jeffreymarks@example.com,2024-07-14,Google Ads,Morocco,100
LD00047,Eric King,pamela94@example.com,2025-01-16,Email Campaign,Indonesia,78
