interaction_id,lead_id,interaction_type,timestamp,channel,device_type,campaign_id,full_name,email,created_at,source_channel,location,lead_quality_score,converted
IT01770,LD00001,ad clicked,2025-02-11,linkedin,mobile,CP765,Justin Cooper,gilbertcannon@example.com,2025-01-17,LinkedIn,Turkey,79,0
IT02742,LD00001,page viewed,2025-04-01,linkedin,desktop,CP834,Justin Cooper,gilbertcannon@example.com,2025-01-17,LinkedIn,Turkey,79,0
IT04436,LD00002,ad clicked,2024-04-04,email campaign,mobile,CP105,Rodney Long MD,jasonfloyd@example.com,2024-04-01,Email Campaign,Timor-Leste,74,1
IT03564,LD00002,email opened,2024-04-10,email campaign,mobile,CP792,Rodney Long MD,jasonfloyd@example.com,2024-04-01,Email Campaign,Timor-Leste,74,1
IT03833,LD00002,ad clicked,2024-04-16,email campaign,desktop,CP322,Rodney Long MD,jasonfloyd@example.com,2024-04-01,Email Campaign,Timor-Leste,74,1
IT03970,LD00002,email opened,2024-04-19,email campaign,desktop,CP286,Rodney Long MD,jasonfloyd@example.com,2024-04-01,Email Campaign,Timor-Leste,74,1
IT02131,LD00002,page viewed,2024-05-22,email campaign,mobile,CP733,Rodney Long MD,jasonfloyd@example.com,2024-04-01,Email Campaign,Timor-Leste,74,1
IT00664,LD00002,email opened,2024-06-04,email campaign,desktop,CP954,Rodney Long MD,jasonfloyd@example.com,2024-04-01,Email Campaign,Timor-Leste,74,1
IT01760,LD00002,email opened,2024-06-19,email campaign,desktop,CP530,Rodney Long MD,jasonfloyd@example.com,2024-04-01,Email Campaign,Timor-Leste,74,1
IT04287,LD00002,page viewed,2024-06-23,email campaign,desktop,CP947,Rodney Long MD,jasonfloyd@example.com,2024-04-01,Email Campaign,Timor-Leste,74,1
IT01976,LD00003,page viewed,2025-03-07,linkedin,desktop,CP955,Kaitlyn Mendez,susanchambers@example.net,2025-03-03,LinkedIn,Lesotho,74,0
IT01018,LD00003,ad clicked,2025-03-26,linkedin,desktop,CP478,Kaitlyn Mendez,susanchambers@example.net,2025-03-03,LinkedIn,Lesotho,74,0
IT04346,LD00003,email opened,2025-04-04,linkedin,desktop,CP910,Kaitlyn Mendez,susanchambers@example.net,2025-03-03,LinkedIn,Lesotho,74,0
IT04382,LD00003,ad clicked,2025-04-29,linkedin,desktop,CP677,Kaitlyn Mendez,susanchambers@example.net,2025-03-03,LinkedIn,Lesotho,74,0
IT04311,LD00004,email opened,2024-04-22,email campaign,desktop,CP876,Helen Holloway MD,jose24@example.com,2024-04-01,Email Campaign,Peru,61,1
IT03933,LD00004,page viewed,2024-05-05,email campaign,desktop,CP215,Helen Holloway MD,jose24@example.com,2024-04-01,Email Campaign,Peru,61,1
IT00289,LD00004,page viewed,2024-05-08,email campaign,mobile,CP585,Helen Holloway MD,jose24@example.com,2024-04-01,Email Campaign,Peru,61,1
IT04079,LD00004,email opened,2024-05-12,email campaign,mobile,CP661,Helen Holloway MD,jose24@example.com,2024-04-01,Email Campaign,Peru,61,1
IT02443,LD00004,email opened,2024-05-30,email campaign,mobile,CP842,Helen Holloway MD,jose24@example.com,2024-04-01,Email Campaign,Peru,61,1
IT03205,LD00004,email opened,2024-06-06,email campaign,mobile,CP954,Helen Holloway MD,jose24@example.com,2024-04-01,Email Campaign,Peru,61,1
IT00938,LD00004,email opened,2024-06-12,email campaign,mobile,CP478,Helen Holloway MD,jose24@example.com,2024-04-01,Email Campaign,Peru,61,1
IT01549,LD00004,email opened,2024-06-29,email campaign,desktop,CP848,Helen Holloway MD,jose24@example.com,2024-04-01,Email Campaign,Peru,61,1
IT04379,LD00005,page viewed,2025-09-20,email campaign,mobile,CP682,Dean Villarreal,garrettbutler@example.net,2025-08-02,Email Campaign,Lebanon,55,1
IT01487,LD00005,page viewed,2025-09-21,email campaign,desktop,CP912,Dean Villarreal,garrettbutler@example.net,2025-08-02,Email Campaign,Lebanon,55,1
IT03843,LD00005,email opened,2025-09-27,email campaign,desktop,CP764,Dean Villarreal,garrettbutler@example.net,2025-08-02,Email Campaign,Lebanon,55,1
IT02022,LD00005,ad clicked,2025-10-29,email campaign,desktop,CP254,Dean Villarreal,garrettbutler@example.net,2025-08-02,Email Campaign,Lebanon,55,1
IT02701,LD00006,email opened,2025-05-15,email campaign,desktop,CP843,John Kelley,robbinsjody@example.org,2025-03-14,Email Campaign,Australia,36,1
IT03942,LD00006,demo booked,2025-06-04,email campaign,mobile,CP724,John Kelley,robbinsjody@example.org,2025-03-14,Email Campaign,Australia,36,1
IT03559,LD00006,demo booked,2025-06-10,email campaign,mobile,CP541,John Kelley,robbinsjody@example.org,2025-03-14,Email Campaign,Australia,36,1
IT00508,LD00007,ad clicked,2024-06-17,instagram,mobile,CP299,Karen Barton,andersonkevin@example.com,2024-05-22,Instagram,Spain,54,0
IT00027,LD00007,ad clicked,2024-07-28,instagram,desktop,CP366,Karen Barton,andersonkevin@example.com,2024-05-22,Instagram,Spain,54,0
IT01290,LD00008,ad clicked,2024-12-06,email campaign,desktop,CP679,Heather Schaefer,dianagray@example.org,2024-11-28,Email Campaign,Mauritius,67,0
